InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,Season,BasePrice,CompetitorPrice,PriceChangeFreq,PriceStdDev,PriceRange,DemandIndicator,NumRivals,PriceSyncScore,ReactivePricingFlag,SearchDuration,PurchaseDelay,NumSearches,ADPExposure,DidPurchase,MitigationApplied,PriceMatchingFlag,VolatilityScore,TrustScore,CollusionFlag
INV500010,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2010-02-16 10:00,4.48,C16976,United Kingdom,clothing,winter,4.65,4.19,4,0.72,2.089,0.8,6,0.302,0,6.9,0.3,2,34,0,0,0,0.3607,1.6606,1
INV500011,84406B,CREAM CUPID HEARTS COAT HANGER,2,2010-06-13 12:31,2.61,C15122,United Kingdom,home_decor,summer,2.75,3.01,1,0.388,1.344,0.805,5,0.401,0,7.7,1.7,7,6,1,1,0,0.2177,1.5284,0
INV500012,21928,JUMBO STORAGE BAG SUKI,3,2010-01-03 12:39,1.7,C17637,United Kingdom,bags,winter,2.08,1.79,1,0.159,0.47,0.646,3,0.319,0,4.1,0.5,1,17,1,0,0,0.3598,3.2914,0
INV500013,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2011-09-15 11:36,2.15,C14026,United Kingdom,kitchen,autumn,2.1,2.34,4,0.352,1.862,0.914,5,0.232,0,7.6,2.2,2,14,1,0,0,0.4122,1.9484,0
INV500014,22086,PAPER CHAIN KIT 50S CHRISTMAS,5,2011-08-08 10:38,4.16,C17567,United Kingdom,seasonal,summer,2.95,4.15,2,0.841,2.187,1.121,3,0.696,1,10.7,1.1,6,4,1,0,0,0.5758,1.1462,0
INV500015,22383,LUNCH BAG SUKI DESIGN,16,2011-08-05 17:45,2.14,C15030,Germany,bags,summer,1.65,2.41,3,0.53,2.793,0.976,5,0.156,0,6.8,3.0,3,8,0,0,0,0.474,1.3202,0
INV500016,47566,PARTY BUNTING,2,2011-09-05 10:28,6.41,C13901,United Kingdom,seasonal,autumn,4.95,6.74,2,0.458,2.244,1.274,1,0.723,0,14.4,1.8,5,4,1,0,0,0.6397,1.1752,1
INV500017,21928,JUMBO STORAGE BAG SUKI,4,2010-09-04 14:03,2.28,C14076,United Kingdom,bags,autumn,2.08,2.49,1,0.265,1.245,0.877,1,0.521,0,20.9,1.2,3,21,0,0,0,0.3433,1.431,0
INV500018,22632,HAND WARMER RED POLKA DOT,4,2010-05-03 12:08,2.22,C12938,United Kingdom,clothing,spring,1.85,2.15,4,0.454,2.234,1.219,1,0.365,1,20.1,1.8,2,15,0,1,0,0.4477,1.7289,0
INV500019,22423,REGENCY CAKESTAND 3 TIER,16,2010-05-10 15:41,15.9,C15521,United Kingdom,kitchen,spring,12.75,15.87,2,1.802,7.33,1.326,3,0.304,1,7.5,1.2,1,14,0,0,0,0.3055,2.2105,1
INV500020,22086,PAPER CHAIN KIT 50S CHRISTMAS,6,2010-10-26 09:56,3.51,C15845,United Kingdom,seasonal,autumn,2.95,3.04,4,0.833,2.643,1.213,4,0.531,0,15.8,2.0,4,10,0,1,0,0.6075,1.4155,0
INV500021,22633,HAND WARMER UNION JACK,6,2010-03-02 14:58,1.92,C12362,United Kingdom,clothing,spring,1.85,1.89,2,0.492,1.979,0.885,5,0.151,1,18.1,2.3,5,39,0,0,0,0.3785,1.4878,0
INV500022,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2010-07-15 12:11,3.78,C16665,United Kingdom,clothing,summer,3.39,3.76,3,0.258,1.172,0.959,3,0.239,1,30.9,0.8,5,9,1,0,0,0.4048,1.3773,1
INV500023,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2010-12-21 14:10,5.57,C14768,United Kingdom,clothing,winter,4.65,6.59,4,1.013,2.588,1.371,6,0.465,0,4.8,0.1,2,4,1,0,0,0.404,1.4476,0
INV500024,21928,JUMBO STORAGE BAG SUKI,14,2011-01-14 12:40,1.93,C14134,United Kingdom,bags,winter,2.08,2.24,2,0.413,1.721,0.691,6,0.637,0,6.1,2.0,5,16,0,0,0,0.4041,1.6717,0
INV500025,22633,HAND WARMER UNION JACK,5,2010-03-10 15:22,1.52,C14340,United Kingdom,clothing,spring,1.85,1.51,3,0.407,1.399,0.643,4,0.384,1,5.6,0.7,4,17,1,0,0,0.3039,2.546,1
INV500026,22632,HAND WARMER RED POLKA DOT,22,2011-04-25 10:25,2.05,C18262,United Kingdom,clothing,spring,1.85,2.22,3,0.125,0.428,1.019,4,0.267,0,10.0,3.1,9,12,1,0,1,0.4209,1.851,0
INV500027,22752,SET 7 BABUSHKA NESTING BOXES,29,2009-12-19 14:17,8.49,C15712,United Kingdom,toys,winter,7.65,7.23,4,1.514,4.55,1.688,5,0.287,0,2.0,2.4,5,8,1,1,0,0.3339,2.4296,0
INV500028,21174,CABINET WITH FAIRY DOORS,13,2011-03-04 10:43,10.27,C18302,United Kingdom,home_decor,spring,9.95,9.51,2,0.582,2.569,0.847,4,0.206,0,8.0,1.8,7,12,1,0,1,0.2807,1.5677,1
INV500029,84406B,CREAM CUPID HEARTS COAT HANGER,14,2010-08-20 13:02,2.94,C17094,United Kingdom,home_decor,summer,2.75,3.47,1,0.214,1.109,0.857,6,0.32,0,4.0,0.2,3,22,1,0,1,0.263,3.297,0
INV500030,22960,JAM MAKING SET WITH JARS,2,2011-09-09 14:15,5.33,C16443,Netherlands,kitchen,autumn,4.25,7.18,4,0.306,1.043,0.914,6,0.515,0,5.1,0.3,3,10,1,0,0,0.4117,2.5839,0
INV500031,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2011-03-27 09:33,5.21,C17699,United Kingdom,clothing,spring,4.65,5.24,1,0.562,2.45,0.809,4,0.134,1,6.1,0.8,1,10,1,0,0,0.1716,2.5854,0
INV500032,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2010-07-01 10:36,1.9,C16795,United Kingdom,kitchen,summer,2.1,1.9,1,0.527,2.07,0.847,5,0.198,1,3.2,0.9,2,12,1,0,1,0.3919,2.095,0
INV500033,85099B,JUMBO BAG RED RETROSPOT,11,2010-06-29 13:27,2.37,C14489,United Kingdom,bags,summer,2.08,2.09,5,0.254,0.834,1.038,8,0.301,0,3.6,0.3,3,3,0,0,0,0.3533,2.0767,0
INV500034,22383,LUNCH BAG SUKI DESIGN,1,2010-01-08 14:40,1.41,C18023,United Kingdom,bags,winter,1.65,1.46,3,0.152,0.44,0.753,8,0.351,1,22.1,2.0,4,20,1,0,0,0.2448,2.1199,0
INV500035,20727,LUNCH BAG BLACK SKULL,6,2011-07-21 14:57,2.12,C14256,United Kingdom,bags,summer,1.65,1.98,6,0.304,1.394,1.036,8,0.456,0,10.2,6.5,5,8,0,0,0,0.4766,1.2366,0
INV500036,23170,CERAMIC BOWL WITH POLKADOT DESIGN,5,2011-01-03 11:13,3.6,C12137,United Kingdom,kitchen,winter,3.75,3.74,1,1.12,3.558,0.593,1,0.609,1,5.8,1.1,3,4,1,0,0,0.3865,2.1839,1
INV500037,22752,SET 7 BABUSHKA NESTING BOXES,18,2011-08-31 10:31,9.55,C13171,United Kingdom,toys,summer,7.65,8.8,3,1.78,6.927,0.873,2,0.64,0,6.1,1.6,2,7,0,0,0,0.5693,2.0133,1
INV500038,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2010-09-03 10:03,5.44,C18356,United Kingdom,home_decor,autumn,4.25,4.83,4,0.995,4.941,1.162,1,0.542,0,6.8,7.5,5,12,1,0,0,0.3827,2.0735,0
INV500039,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-04-20 11:54,8.22,C13560,United Kingdom,toys,spring,7.65,8.42,4,1.249,4.974,1.007,4,0.505,1,11.6,1.1,8,2,1,0,0,0.5501,1.0,1
INV500040,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2011-03-05 10:08,3.85,C15808,United Kingdom,clothing,spring,3.39,3.19,4,0.61,1.602,1.033,6,0.384,0,8.1,4.8,1,22,0,0,1,0.4366,1.8424,0
INV500041,22383,LUNCH BAG SUKI DESIGN,8,2009-12-16 10:48,1.8,C14315,United Kingdom,bags,winter,1.65,1.79,1,0.443,1.193,1.282,4,0.134,1,3.1,0.5,3,12,1,1,1,0.3642,2.7169,0
INV500042,20727,LUNCH BAG BLACK SKULL,15,2011-10-20 12:37,2.15,C17926,United Kingdom,bags,autumn,1.65,2.19,6,0.445,1.172,1.675,6,0.536,1,3.6,5.7,6,22,1,0,0,0.4792,1.7719,0
INV500043,47566,PARTY BUNTING,3,2010-08-23 12:50,5.79,C17659,United Kingdom,seasonal,summer,4.95,5.82,0,0.839,2.84,1.056,5,0.239,1,5.6,0.5,3,17,1,0,0,0.336,2.0662,0
INV500044,22384,LUNCH BAG PINK POLKADOT,5,2011-09-29 12:03,1.87,C12913,United Kingdom,bags,autumn,1.65,1.8,5,0.186,1.007,0.777,1,0.289,1,7.0,1.0,4,5,0,0,0,0.4549,1.2305,1
INV500045,22111,SCOTTIE DOG HOT WATER BOTTLE,8,2010-09-26 14:03,5.23,C13627,United Kingdom,clothing,autumn,4.65,5.75,2,0.865,3.572,0.939,5,0.647,0,3.2,0.6,1,10,1,0,0,0.4351,2.8109,1
INV500046,22197,POPCORN HOLDER,2,2010-11-02 14:31,1.06,C17132,Netherlands,kitchen,autumn,0.85,1.19,3,0.132,0.649,1.178,6,0.202,0,16.9,2.5,7,4,0,1,0,0.4212,1.5093,0
INV500047,22633,HAND WARMER UNION JACK,1,2010-07-03 15:54,2.19,C14780,United Kingdom,clothing,summer,1.85,2.21,3,0.322,1.371,1.041,6,0.289,1,5.8,0.4,1,18,1,1,0,0.3642,1.9374,1
INV500048,23298,SPOTTY BUNTING,7,2010-05-06 15:56,4.43,C16523,United Kingdom,seasonal,spring,4.95,3.64,0,1.156,4.603,0.896,8,0.698,0,3.8,0.5,3,20,1,0,1,0.3372,3.1673,0
INV500049,22384,LUNCH BAG PINK POLKADOT,6,2010-03-10 13:44,1.8,C15976,United Kingdom,bags,spring,1.65,1.82,1,0.104,0.468,0.985,4,0.283,1,17.8,1.7,2,9,0,0,0,0.2395,1.8869,0
INV500050,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2010-04-13 12:31,4.11,C14803,United Kingdom,clothing,spring,3.39,4.79,2,0.973,4.719,1.084,5,0.139,0,3.5,1.4,1,13,1,1,0,0.4283,3.0932,0
INV500051,22457,NATURAL SLATE HEART CHALKBOARD,8,2011-06-22 15:40,1.17,C14841,United Kingdom,home_decor,summer,1.06,1.23,6,0.208,0.87,0.79,2,0.276,0,11.4,0.7,5,19,1,0,0,0.4838,1.9992,1
INV500052,20725,LUNCH BAG RED RETROSPOT,4,2010-01-08 14:19,1.53,C16232,United Kingdom,bags,winter,1.65,1.7,2,0.438,2.053,0.844,4,0.304,0,5.4,0.4,2,11,0,1,0,0.3597,2.8046,0
INV500053,85099B,JUMBO BAG RED RETROSPOT,4,2010-10-23 14:04,2.63,C14179,United Kingdom,bags,autumn,2.08,2.33,2,0.155,0.825,1.216,5,0.224,0,2.3,0.8,1,20,1,1,0,0.3581,3.2601,0
INV500054,22423,REGENCY CAKESTAND 3 TIER,2,2011-05-26 11:24,14.07,C16591,United Kingdom,kitchen,spring,12.75,15.87,3,1.769,7.169,0.908,5,0.696,0,4.2,0.3,2,7,1,1,1,0.4293,2.7002,0
INV500055,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-19 10:31,2.85,C18033,United Kingdom,home_decor,spring,2.55,2.2,3,0.521,2.425,0.81,6,0.193,0,,0.3,3,5,1,0,0,0.3845,2.4762,0
INV500056,85099B,JUMBO BAG RED RETROSPOT,15,2011-10-10 16:12,3.0,C18358,United Kingdom,bags,autumn,2.08,2.92,2,0.753,2.115,1.657,2,0.458,1,3.8,3.2,4,6,1,0,0,0.3764,2.0192,1
INV500057,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2010-08-05 12:33,4.81,C18124,United Kingdom,clothing,summer,4.65,,3,1.09,4.354,0.905,1,0.329,1,4.5,0.6,2,23,1,1,0,0.3037,3.0879,0
INV500058,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-11-03 14:18,2.15,C14434,United Kingdom,home_decor,autumn,1.69,2.44,4,0.501,2.628,1.242,6,0.143,0,4.8,1.2,5,1,1,0,1,0.3847,1.8956,0
INV500059,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-06-14 15:26,2.64,C15606,United Kingdom,home_decor,summer,2.55,2.38,3,0.776,3.98,0.871,8,0.221,0,6.8,1.9,4,10,1,1,1,0.3683,2.3365,0
INV500060,22383,LUNCH BAG SUKI DESIGN,6,2011-06-12 11:18,1.8,C14410,United Kingdom,bags,summer,1.65,1.5,3,0.366,1.547,1.085,3,0.305,0,4.5,0.4,4,19,0,0,0,0.4668,2.4981,0
INV500061,22632,HAND WARMER RED POLKA DOT,1,2011-02-02 12:10,1.93,C16637,United Kingdom,clothing,winter,1.85,1.99,4,0.276,0.872,0.717,7,0.284,1,12.3,3.6,1,17,0,1,0,0.4924,1.7338,0
INV500062,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-06-24 10:08,5.99,C15471,United Kingdom,clothing,summer,4.65,6.57,3,1.266,4.632,0.863,4,0.134,0,4.6,1.4,1,5,1,0,0,0.431,2.6272,0
INV500063,84029E,RED WOOLLY HOTTIE WHITE HEART,28,2011-06-28 11:20,4.08,C17710,United Kingdom,clothing,summer,3.39,4.12,2,0.96,4.741,1.09,8,0.136,1,3.2,1.7,4,2,0,1,0,0.3692,1.8965,0
INV500064,23084,RABBIT NIGHT LIGHT,1,2010-06-29 15:10,1.57,C13338,United Kingdom,home_decor,summer,1.65,0.88,2,0.289,1.308,0.7,6,0.173,0,6.8,0.7,1,22,0,0,1,0.3707,2.7273,0
INV500065,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,2,2011-07-10 12:39,2.29,C17148,United Kingdom,kitchen,summer,2.1,2.46,6,0.252,0.793,0.87,4,0.152,0,10.1,0.7,5,2,0,0,0,0.4379,1.5144,0
INV500066,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2010-07-11 14:37,4.23,C14011,United Kingdom,clothing,summer,3.39,4.16,3,0.601,2.055,1.149,8,0.449,1,4.6,5.2,5,24,1,0,0,0.3256,1.9732,0
INV500067,21928,JUMBO STORAGE BAG SUKI,1,2010-04-11 16:07,2.09,C13695,United Kingdom,bags,spring,2.08,2.17,3,0.312,1.527,0.925,3,0.271,1,4.9,0.3,1,12,1,0,0,0.3434,2.7897,1
INV500068,22633,HAND WARMER UNION JACK,8,2010-10-11 10:58,2.23,C14805,United Kingdom,clothing,autumn,1.85,2.69,3,0.218,0.983,1.44,6,0.599,0,10.5,1.7,2,13,1,0,0,0.3293,1.9198,0
INV500069,22384,LUNCH BAG PINK POLKADOT,1,2010-04-28 16:39,1.69,C16763,United Kingdom,bags,spring,1.65,1.74,2,0.397,1.834,0.789,4,0.428,1,2.5,0.2,1,5,1,0,0,0.3786,1.7049,0
INV500070,22383,LUNCH BAG SUKI DESIGN,14,2010-04-11 11:54,1.69,C15970,United Kingdom,bags,spring,1.65,2.12,2,0.359,1.526,0.879,6,0.144,0,30.4,1.8,4,14,1,0,1,0.3634,1.6696,0
INV500071,21928,JUMBO STORAGE BAG SUKI,5,2011-10-09 15:15,2.62,C15758,United Kingdom,bags,autumn,2.08,2.02,4,0.421,1.436,1.041,6,0.162,0,,0.6,2,8,1,0,1,0.4002,2.5357,0
INV500072,21212,PACK OF 72 RETROSPOT CAKE CASES,3,2010-09-10 12:01,2.3,C12757,United Kingdom,kitchen,autumn,2.1,2.77,6,0.594,2.448,1.113,7,0.72,0,,4.7,3,0,0,0,0,0.5012,1.8852,0
INV500073,22457,NATURAL SLATE HEART CHALKBOARD,2,2010-02-14 13:32,0.94,C16809,United Kingdom,home_decor,winter,1.06,0.79,1,0.208,0.796,0.696,8,0.261,0,3.6,0.5,2,4,0,0,0,0.2685,3.2089,0
INV500074,22383,LUNCH BAG SUKI DESIGN,11,2011-06-28 09:11,1.78,C15626,United Kingdom,bags,summer,1.65,1.55,5,0.44,1.83,0.827,5,0.543,0,4.9,0.3,1,6,1,1,0,0.4887,2.2578,0
INV500075,21928,JUMBO STORAGE BAG SUKI,2,2010-09-26 09:41,2.44,C12489,United Kingdom,bags,autumn,2.08,2.84,5,0.401,1.778,1.001,5,0.349,0,2.0,0.6,2,21,1,0,1,0.5555,2.8838,1
INV500076,21928,JUMBO STORAGE BAG SUKI,7,2010-06-03 14:42,2.2,C16431,United Kingdom,bags,summer,2.08,2.22,6,0.555,2.05,0.988,4,0.398,1,5.8,2.2,10,16,0,0,1,0.4742,1.3688,0
INV500077,23170,CERAMIC BOWL WITH POLKADOT DESIGN,6,2010-06-24 10:32,3.88,C17229,United Kingdom,kitchen,summer,3.75,5.49,3,0.591,2.329,0.761,6,0.089,0,5.5,1.4,7,6,1,0,0,0.283,1.4407,0
INV500078,22383,LUNCH BAG SUKI DESIGN,10,2011-09-27 11:10,1.98,C16522,United Kingdom,bags,autumn,1.65,2.26,5,0.562,1.44,1.324,4,0.682,0,11.1,0.4,5,6,1,0,0,0.5899,1.0413,1
INV500079,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2011-04-10 12:37,5.98,C13211,United Kingdom,home_decor,spring,4.25,,1,0.615,2.515,1.119,1,0.415,0,4.5,5.4,2,11,0,0,0,0.3078,1.8595,0
INV500080,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2010-07-17 14:29,1.78,C12904,United Kingdom,home_decor,summer,1.69,1.63,2,0.292,0.772,0.73,7,0.301,0,24.2,2.1,7,14,0,0,0,0.3482,1.5434,1
INV500081,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2010-11-14 12:07,2.47,C13714,United Kingdom,kitchen,autumn,2.1,2.31,2,0.656,3.171,1.142,5,0.0,0,5.1,0.8,1,6,1,1,1,0.3476,2.6874,0
INV500082,23298,SPOTTY BUNTING,7,2010-04-27 10:46,5.05,C16041,United Kingdom,seasonal,spring,4.95,5.42,4,1.079,5.092,0.915,2,0.64,0,,1.2,5,4,1,0,0,0.4722,1.1597,0
INV500083,23170,CERAMIC BOWL WITH POLKADOT DESIGN,7,2011-09-07 11:52,5.37,C14580,United Kingdom,kitchen,autumn,3.75,5.84,2,0.703,3.673,0.969,7,0.302,0,4.7,0.6,1,18,1,0,0,0.3405,1.9922,0
INV500084,23298,SPOTTY BUNTING,3,2010-01-14 12:57,4.46,C18430,United Kingdom,seasonal,winter,4.95,4.09,3,0.62,2.045,0.775,4,0.628,0,9.2,2.4,3,9,0,1,1,0.39,1.9464,1
INV500085,20727,LUNCH BAG BLACK SKULL,11,2010-06-10 13:21,1.8,C13490,United Kingdom,bags,summer,1.65,1.56,1,0.197,0.68,0.954,4,0.185,0,4.7,0.7,2,8,1,0,0,0.3432,3.0047,1
INV500086,23170,CERAMIC BOWL WITH POLKADOT DESIGN,6,2011-03-09 14:43,4.3,C12689,United Kingdom,kitchen,spring,3.75,3.05,4,0.973,3.492,1.026,8,0.32,0,7.5,2.7,5,10,1,0,0,0.4642,1.3208,0
INV500087,84406B,CREAM CUPID HEARTS COAT HANGER,15,2011-03-30 14:57,2.97,C12938,United Kingdom,home_decor,spring,2.75,3.3,2,0.461,1.942,0.942,5,0.522,0,10.4,1.5,3,7,1,0,1,0.3878,2.0255,0
INV500088,22114,HOT WATER BOTTLE TEA AND SYMPATHY,23,2011-01-30 15:17,5.78,C18391,United Kingdom,clothing,winter,4.65,5.41,3,0.275,1.02,1.063,4,0.47,0,2.5,4.3,4,4,0,1,0,0.4193,2.2734,0
INV500089,20725,LUNCH BAG RED RETROSPOT,1,2010-08-30 14:22,1.93,C15398,United Kingdom,bags,summer,1.65,1.67,4,0.337,0.931,0.864,8,0.442,0,4.4,0.3,1,6,1,0,1,0.3615,1.6545,0
INV500090,22197,POPCORN HOLDER,10,2010-03-07 10:46,0.94,C14600,United Kingdom,kitchen,spring,0.85,1.08,2,0.238,0.84,1.039,8,0.047,0,3.0,0.4,1,9,1,0,0,0.2996,2.8577,0
INV500091,23298,SPOTTY BUNTING,1,2010-05-03 11:27,5.17,C17599,United Kingdom,seasonal,spring,4.95,,7,0.314,1.487,1.033,1,0.076,1,,0.6,2,14,1,0,0,0.472,2.116,1
INV500092,21212,PACK OF 72 RETROSPOT CAKE CASES,17,2010-11-02 14:59,2.26,C13535,Netherlands,kitchen,autumn,2.1,2.44,2,0.609,2.645,1.338,5,0.22,0,6.8,0.7,5,10,0,1,0,0.4454,1.979,1
INV500093,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-27 11:10,1.91,C14942,United Kingdom,home_decor,winter,1.69,1.67,1,0.304,1.36,1.157,4,0.198,0,,0.3,1,9,1,0,0,0.2907,2.447,0
INV500094,84406B,CREAM CUPID HEARTS COAT HANGER,10,2011-02-08 12:53,2.84,C13565,United Kingdom,home_decor,winter,2.75,2.76,2,0.566,2.855,0.623,3,0.184,1,8.2,0.5,1,7,1,0,0,0.3367,2.0561,0
INV500095,22457,NATURAL SLATE HEART CHALKBOARD,3,2011-01-20 11:14,1.09,C13876,United Kingdom,home_decor,winter,1.06,1.03,2,0.122,0.586,0.897,7,0.062,1,11.7,2.6,7,9,0,0,1,0.2543,1.9177,0
INV500096,23298,SPOTTY BUNTING,3,2010-07-14 13:03,4.95,C15099,United Kingdom,seasonal,summer,4.95,4.87,1,1.537,7.834,0.796,2,0.566,1,7.7,1.0,2,13,1,1,0,0.4756,1.8747,0
INV500097,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,2011-03-13 14:44,3.76,C15832,United Kingdom,clothing,spring,3.39,3.39,2,0.889,3.613,0.901,2,0.37,0,12.2,0.5,6,9,0,0,0,0.4946,1.6048,1
INV500098,22960,JAM MAKING SET WITH JARS,1,2010-03-19 15:55,4.17,C17616,United Kingdom,kitchen,spring,4.25,4.19,3,1.273,4.087,0.895,7,0.296,1,4.9,0.1,3,5,1,0,0,0.3671,1.6691,1
INV500099,22423,REGENCY CAKESTAND 3 TIER,27,2010-12-24 12:29,15.69,C15539,United Kingdom,kitchen,winter,12.75,13.47,3,4.237,15.818,1.49,5,0.115,0,8.7,2.0,1,15,0,1,0,0.4664,1.9304,0
INV500100,23170,CERAMIC BOWL WITH POLKADOT DESIGN,17,2011-11-17 11:23,5.22,C14371,United Kingdom,kitchen,autumn,3.75,4.8,2,0.984,3.0,1.71,4,0.66,0,5.0,6.0,2,11,1,0,1,0.3832,1.764,0
INV500101,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-02-20 12:56,7.77,C14758,United Kingdom,toys,winter,7.65,8.53,0,1.858,9.296,0.641,6,0.61,0,10.4,1.4,3,5,1,0,0,0.408,1.5196,0
INV500102,22632,HAND WARMER RED POLKA DOT,5,2011-06-29 11:57,1.89,C18240,Australia,clothing,summer,1.85,1.79,3,0.47,2.56,0.882,2,0.387,1,2.9,0.5,1,12,0,0,0,0.4551,2.6311,1
INV500103,20727,LUNCH BAG BLACK SKULL,1,2010-01-16 15:55,1.63,C14794,United Kingdom,bags,winter,1.65,1.54,2,0.224,0.731,0.789,2,0.261,1,6.3,0.6,2,25,1,1,0,0.24,2.2774,0
INV500104,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2010-12-24 15:41,5.17,C13152,United Kingdom,clothing,winter,4.65,5.25,5,1.246,6.295,1.472,5,0.667,1,5.3,0.3,1,8,0,0,0,0.4477,2.1603,0
INV500105,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2010-02-13 11:38,1.6,C14225,United Kingdom,home_decor,winter,1.69,1.55,1,0.183,0.757,0.779,7,0.236,1,1.8,1.3,1,34,0,0,1,0.2158,2.4481,1
INV500106,22197,POPCORN HOLDER,2,2010-03-11 10:47,0.89,C14003,United Kingdom,kitchen,spring,0.85,0.87,3,0.211,1.12,0.935,2,0.388,1,14.7,1.8,2,27,0,0,0,0.3841,1.9184,0
INV500107,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2011-09-10 09:32,2.61,C12541,United Kingdom,kitchen,autumn,2.1,2.55,2,0.759,3.767,0.925,5,0.161,1,3.8,1.5,1,12,1,1,1,0.4206,2.6375,1
INV500108,20727,LUNCH BAG BLACK SKULL,4,2011-04-02 15:04,1.87,C18170,United Kingdom,bags,spring,1.65,1.87,2,0.568,2.072,0.958,7,0.468,1,2.8,0.5,1,12,1,0,0,0.4845,2.3938,0
INV500109,47566,PARTY BUNTING,1,2011-09-24 12:39,5.44,C14700,United Kingdom,seasonal,autumn,4.95,5.79,2,1.795,8.076,0.855,4,0.463,0,8.1,2.6,5,7,1,0,1,0.6008,1.271,1
